Protein IDs,Majority protein IDs,First Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides MSZ20_S_1,Peptides MSZ20_S_2,Peptides MSZ20_S_3,Peptides MSZ20_S_4,Razor + unique peptides MSZ20_S_1,Razor + unique peptides MSZ20_S_2,Razor + unique peptides MSZ20_S_3,Razor + unique peptides MSZ20_S_4,Unique peptides MSZ20_S_1,Unique peptides MSZ20_S_2,Unique peptides MSZ20_S_3,Unique peptides MSZ20_S_4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L MSZ20_S_1,Ratio H/L MSZ20_S_2,Ratio H/L MSZ20_S_3,Ratio H/L MSZ20_S_4,Ratio H/L normalized MSZ20_S_1,Ratio H/L normalized MSZ20_S_2,Ratio H/L normalized MSZ20_S_3,Ratio H/L normalized MSZ20_S_4,Ratio H/L variability [%] MSZ20_S_1,Ratio H/L variability [%] MSZ20_S_2,Ratio H/L variability [%] MSZ20_S_3,Ratio H/L variability [%] MSZ20_S_4,Ratio H/L count MSZ20_S_1,Ratio H/L count MSZ20_S_2,Ratio H/L count MSZ20_S_3,Ratio H/L count MSZ20_S_4,Ratio H/L iso-count MSZ20_S_1,Ratio H/L iso-count MSZ20_S_2,Ratio H/L iso-count MSZ20_S_3,Ratio H/L iso-count MSZ20_S_4,Ratio H/L type MSZ20_S_1,Ratio H/L type MSZ20_S_2,Ratio H/L type MSZ20_S_3,Ratio H/L type MSZ20_S_4,Sequence coverage MSZ20_S_1 [%],Sequence coverage MSZ20_S_2 [%],Sequence coverage MSZ20_S_3 [%],Sequence coverage MSZ20_S_4 [%],Intensity,Intensity L,Intensity H,Intensity MSZ20_S_1,Intensity L MSZ20_S_1,Intensity H MSZ20_S_1,Intensity MSZ20_S_2,Intensity L MSZ20_S_2,Intensity H MSZ20_S_2,Intensity MSZ20_S_3,Intensity L MSZ20_S_3,Intensity H MSZ20_S_3,Intensity MSZ20_S_4,Intensity L MSZ20_S_4,Intensity H MSZ20_S_4,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
YAL044C,YAL044C,YAL044C,2,2,2,"YAL044C GCV3 SGDID:S000000042, Chr I from 58462-57950, Genome Release 64-2-1, reverse complement, Verified ORF, H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20.6,20.6,20.6,18.793,170,170,0,229.3,0.10278,1.1867,44.929,8,8,Median,0.081668,0.0933,0.096353,0.11869,0.82196,0.72425,0.90914,1.3129,51.6,78.053,38.012,0.31087,2,2,2,2,2,2,2,2,Median,Median,Median,Median,20.6,20.6,20.6,20.6,8823000,8339900,483080,3037300,2891300,146040,2205400,2080700,124650,1839600,1737300,102280,1740700,1630600,110110,,,,27,4619;5009,True;True,4634;5030,12214;12215;12216;12217;13207;13208;13209;13210,23205;23206;23207;23208;23209;23210;23211;23212;25013;25014;25015;25016;25017;25018;25019,23208;25019,,,-1
YAL053W,YAL053W,YAL053W,2,2,2,"YAL053W FLC2 SGDID:S000000049, Chr I from 45899-48250, Genome Release 64-2-1, Verified ORF, Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from th",1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,3.4,3.4,3.4,87.468,783,783,0,9.4621,0.096069,1.2327,39.945,3,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,1,0,1,0,0,Median,Median,Median,Median,1.9,3.4,1.9,1.9,882940,835920,47021,216340,216340,0,308900,293450,15450,215400,199250,16155,142300,126880,15416,,,,28,670;7417,True;True,672;7460,1886;19445;19446;19447;19448,3930;36377;36378;36379;36380;36381;36382,3930;36382,,,-1
YAL059W,YAL059W,YAL059W,2,2,2,"YAL059W ECM1 SGDID:S000000055, Chr I from 36509-37147, Genome Release 64-2-1, Verified ORF, Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm",1,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,17.9,17.9,17.9,23.891,212,212,0.0016863,3.1275,0.056928,0.13245,51.501,2,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,0,1,0,0,Median,Median,Median,Median,13.7,4.2,0,0,264580,249890,14695,174570,165150,9421,90014,84740,5274,0,0,0,0,0,0,,,,30,6695;7509,True;True,6731;7553,17531;19702,32740;36914,32740;36914,,,-1
YAR002C-A,YAR002C-A,YAR002C-A,2,2,2,"YAR002C-A ERP1 SGDID:S000002129, Chr I from 154724-154065, Genome Release 64-2-1, reverse complement, Verified ORF, Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Er",1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,12.3,12.3,12.3,24.723,219,219,0,10.437,0.1092,1.1795,67.867,6,5,Linear,NaN,NaN,0.086862,0.097568,NaN,NaN,0.36419,0.50811,NaN,NaN,90.379,111.06,1,1,2,2,1,0,2,2,Median,Median,Median,Median,4.1,8.2,12.3,12.3,1003000,922040,81006,122040,112150,9886,189090,173840,15252,309580,283800,25784,382340,352260,30084,,,,31,596;3115,True;True,598;3125,1645;1646;1647;8278;8279;8280,3443;3444;3445;3446;15708;15709;15710;15711;15712;15713,3444;15710,,,-1
YAR002W,YAR002W,YAR002W,5,5,5,"YAR002W NUP60 SGDID:S000000063, Chr I from 152257-153876, Genome Release 64-2-1, Verified ORF, FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore co",1,5,5,5,0,2,3,2,0,2,3,2,0,2,3,2,11.9,11.9,11.9,59.039,539,539,0,7.3265,0.1284,0.73156,121.68,7,7,Median,NaN,0.10241,0.1284,0.67242,NaN,0.57597,0.73156,4.099,NaN,16.985,150.9,64.919,0,2,3,2,0,2,3,2,Median,Median,Median,Median,0,4.5,7.1,4.1,1584100,1362000,222100,0,0,0,480670,440310,40356,614790,525230,89560,488660,396480,92182,,,,32,6047;6665;7094;7137;8921,True;True;True;True;True,6079;6701;7135;7178;8978,15880;15881;15882;17470;18579;18674;23547,29802;29803;29804;32629;34693;34860;44828,29802;32629;34693;34860;44828,,,-1
YAR015W,YAR015W,YAR015W,13,13,13,"YAR015W ADE1 SGDID:S000000070, Chr I from 169375-170295, Genome Release 64-2-1, Verified ORF, N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for de novo purine nucleotide biosynthesis; red pigment accumulates in mutant cells dep",1,13,13,13,8,8,7,9,8,8,7,9,8,8,7,9,48,48,48,34.603,306,306,0,40.928,0.094183,0.57122,59.042,32,26,Leave out requantified,0.091402,0.10975,0.10912,0.12316,1.4077,0.64672,1.0325,3.4128,80.878,86.885,89.733,95.757,8,8,7,9,7,6,5,8,Median,Median,Median,Linear,34,30.4,27.5,33.7,8318400,7401100,917270,2791400,2481300,310120,1565700,1394900,170760,1837600,1648300,189290,2123800,1876700,247090,,,,33,135;1351;2371;2937;3975;4751;5124;5516;5758;7534;7685;7823;9029,True;True;True;True;True;True;True;True;True;True;True;True;True,135;1353;2380;2947;3988;4770;5145;5544;5787;7579;7731;7869;9086,400;401;402;403;3610;6402;6403;6404;6405;7821;7822;10574;12572;13535;13536;13537;14545;14546;14547;15159;15160;19765;19766;20186;20187;20188;20189;20544;20545;20546;20547;23851,867;868;869;870;871;872;6965;12402;12403;12404;12405;12406;12407;12408;12409;14838;14839;20312;23893;25617;25618;25619;27481;27482;27483;28536;28537;28538;37018;37019;37963;37964;37965;37966;37967;37968;38640;38641;38642;38643;38644;38645;45448;45449,869;6965;12404;14838;20312;23893;25617;27483;28538;37018;37965;38641;45449,,,-1
YDR224C;YBL002W,YDR224C;YBL002W,YDR224C,3;3,3;3,3;3,"YDR224C HTB1 SGDID:S000002632, Chr IV from 914712-914317, Genome Release 64-2-1, reverse complement, Verified ORF, Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p media",2,3,3,3,1,2,1,1,1,2,1,1,1,2,1,1,25.2,25.2,25.2,14.252,131,131;131,0,5.1276,0.046776,0.49943,77.274,5,5,Median,NaN,0.16817,NaN,NaN,NaN,0.69271,NaN,NaN,NaN,136.14,NaN,NaN,1,2,1,1,1,2,1,1,Median,Median,Median,Median,6.9,18.3,6.9,6.9,2541000,2399700,141330,337100,296720,40380,686170,646360,39806,612430,586680,25748,905360,869970,35392,,,,34,2138;4741;7097,True;True;True,2146;4760;7138,5754;12548;12549;12550;18582,11117;23850;23851;23852;23853;23854;23855;23856;23857;23858;34696;34697,11117;23857;34697,4,63,-1;-1
YDR225W;YBL003C,YDR225W;YBL003C,YDR225W,3;3,3;3,2;2,"YDR225W HTA1 SGDID:S000002633, Chr IV from 915530-915928, Genome Release 64-2-1, Verified ORF, Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-depe",2,3,3,2,3,3,1,0,3,3,1,0,2,2,1,0,29.5,29.5,24.2,13.989,132,132;132,0,8.3254,0.072963,0.78184,209.02,7,4,Median,0.072963,0.16137,NaN,NaN,0.64889,0.80351,NaN,NaN,322.67,133.99,NaN,NaN,3,3,1,0,2,2,0,0,Median,Median,Median,Median,29.5,29.5,6.8,0,2611800,1851900,759970,1151700,662870,488800,1003900,750730,253130,456320,438280,18038,0,0,0,,,,35,223;3376;4825,True;True;True,223;3387;4845,624;625;626;8998;8999;12741;12742,1335;1336;1337;17218;17219;24182;24183;24184,1336;17219;24183,,,-1;-1
YBL007C,YBL007C,YBL007C,7,7,7,"YBL007C SLA1 SGDID:S000000103, Chr II from 216366-212632, Genome Release 64-2-1, reverse complement, Verified ORF, Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dyn",1,7,7,7,5,2,1,3,5,2,1,3,5,2,1,3,11.4,11.4,11.4,135.85,1244,1244,0,18.91,0.13676,1.4055,68.994,11,10,Median,0.13506,0.14758,NaN,0.16782,1.4055,0.92684,NaN,1.8835,67.211,93.464,NaN,94.286,5,2,1,3,4,2,1,3,Median,Median,Median,Median,9.3,3.5,2,4,2562600,2231500,331110,1291200,1122000,169190,393900,340530,53374,294120,263530,30588,583400,505440,77956,,,,36,801;5173;6314;6739;7323;7467;8349,True;True;True;True;True;True;True,803;5194;6348;6775;7365;7511;8402,2221;13655;16607;17647;19177;19178;19179;19575;19576;21994;21995,4567;25808;31132;32946;35819;35820;35821;36621;36622;41712;41713,4567;25808;31132;32946;35821;36622;41712,,,-1
YBL015W,YBL015W,YBL015W,5,5,5,"YBL015W ACH1 SGDID:S000000111, Chr II from 194122-195702, Genome Release 64-2-1, Verified ORF, Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; re",1,5,5,5,1,2,0,3,1,2,0,3,1,2,0,3,13.9,13.9,13.9,58.711,526,526,0,7.5592,0.24057,1.7091,118.2,3,3,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,1,1,0,1,Median,Median,Median,Median,3,6.5,0,6.5,1032600,931060,101570,124190,53836,70354,555030,529400,25630,0,0,0,353410,347820,5588,,,,37,251;473;1480;3378;7203,True;True;True;True;True,252;474;1483;3389;7244,712;1289;1290;3982;9001;18841,1513;2658;2659;7742;17221;35152,1513;2658;7742;17221;35152,,,-1
YBL017C;YNR065C;YJL222W;YIL173W,YBL017C,YBL017C,4;1;1;1,4;1;1;1,4;1;1;1,"YBL017C PEP1 SGDID:S000000113, Chr II from 191583-186844, Genome Release 64-2-1, reverse complement, Verified ORF, Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartm",4,4,4,4,0,2,1,2,0,2,1,2,0,2,1,2,4,4,4,177.78,1579,1579;1116;1549;1549,0,6.192,0.25476,0.89814,48.572,5,4,Median,NaN,0.34676,NaN,0.23101,NaN,0.83328,NaN,0.92664,NaN,10.599,NaN,55.561,0,2,1,2,0,2,0,2,Median,Median,Median,Median,0,2.4,0.9,1.6,549670,461110,88558,0,0,0,152100,130470,21634,140810,114310,26498,256760,216330,40426,,,,38,504;4606;6432;8056,True;True;True;True,505;4621;6468;8106,1371;12179;12180;16906;21200,2802;23154;23155;31705;31706;40060,2802;23154;31705;40060,,,-1;-1;-1;-1
YBL022C,YBL022C,YBL022C,7,7,7,"YBL022C PIM1 SGDID:S000000118, Chr II from 181275-177874, Genome Release 64-2-1, reverse complement, Verified ORF, ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitoch",1,7,7,7,5,6,3,2,5,6,3,2,5,6,3,2,8.8,8.8,8.8,127.11,1133,1133,0,13.269,0.28342,0.91762,161.75,10,10,Median,0.45622,0.31039,0.57263,NaN,0.88771,1.1782,3.7686,NaN,105.37,196.68,250.3,NaN,3,4,2,1,3,4,2,1,Median,Median,Median,Median,5.1,7.9,4.9,3.6,2112100,1720400,391620,539360,458210,81144,735790,554580,181210,467730,351100,116630,369190,356560,12630,,,,39,1139;1261;1396;1860;2275;3780;5200,True;True;True;True;True;True;True,1141;1263;1399;1866;2283;3791;5221,3090;3091;3092;3093;3400;3401;3402;3745;3746;5028;6134;6135;10039;10040;13725;13726,6046;6047;6048;6049;6637;6638;6639;7284;7285;7286;9615;11853;11854;19241;19242;25934;25935;25936,6046;6637;7284;9615;11854;19242;25935,,,-1
YBL024W,YBL024W,YBL024W,17,17,17,"YBL024W NCL1 SGDID:S000000120, Chr II from 172534-174588, Genome Release 64-2-1, Verified ORF, S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increas",1,17,17,17,12,10,7,11,12,10,7,11,12,10,7,11,30.8,30.8,30.8,77.878,684,684,0,61.883,0.1665,5.7393,110.46,36,33,Linear,0.16693,0.096569,0.19445,0.16126,1.2063,0.76591,0.78301,0.81592,122.89,111.47,107.44,114.09,10,9,6,11,9,8,6,10,Median,Median,Median,Median,25.4,22.5,13.9,21.8,8277800,7419400,858410,2317100,2073800,243270,2097900,1900300,197540,1379800,1234600,145230,2483000,2210700,272370,,,,40,493;771;1259;1511;2781;3288;3370;3374;3965;4084;4978;5195;5772;7471;7726;7735;7736,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,494;773;1261;1514;2790;3299;3381;3385;3978;4097;4999;5216;5801;7515;7772;7781;7782,1344;1345;1346;2142;2143;2144;3394;3395;3396;3397;4061;7415;7416;7417;8779;8981;8982;8983;8984;8995;10550;10551;10855;10856;10857;13138;13139;13140;13711;13712;15188;19583;19584;19585;20308;20309;20310;20326;20327;20328,2768;2769;2770;4448;4449;4450;6625;6626;6627;6628;6629;6630;6631;6632;7859;7860;14093;14094;14095;14096;16737;17195;17196;17197;17198;17213;20279;20280;20281;20843;20844;20845;24904;24905;24906;24907;25904;25905;25906;28578;36632;36633;36634;38194;38195;38196;38214;38215;38216,2768;4448;6629;7860;14095;16737;17195;17213;20279;20843;24906;25905;28578;36633;38194;38214;38215,,,-1
YBL026W,YBL026W,YBL026W,3,3,3,"YBL026W LSM2 SGDID:S000000122, Chr II from 170623-170676,170805-171038, Genome Release 64-2-1, Verified ORF, Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuc",1,3,3,3,0,0,3,1,0,0,3,1,0,0,3,1,40,40,40,11.163,95,95,0,9.4851,0.069899,0.55664,45.637,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0,0,40,13.7,764060,736020,28038,0,0,0,0,0,0,506870,495940,10932,257190,240080,17106,,,,41,3175;5893;7794,True;True;True,3185;5925;7840,8433;8434;15503;20472,15964;15965;29130;29131;38516,15964;29131;38516,,,-1
YBR084C-A;YBL027W,YBR084C-A;YBL027W,YBR084C-A,5;5,5;5,5;5,"YBR084C-A RPL19A SGDID:S000002156, Chr II from 414753-414186,415261-415260, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null m",2,5,5,5,4,4,4,5,4,4,4,5,4,4,4,5,29.1,29.1,29.1,21.704,189,189;189,0,323.31,0.047109,0.21421,42.94,17,11,Leave out requantified,0.036718,0.039614,0.053141,0.045034,0.17723,0.12114,0.16916,0.16633,36.33,58.235,33.06,42.221,4,4,4,5,2,3,2,4,Median,Median,Linear,Median,24.3,24.3,24.3,29.1,81061000,77516000,3545300,18423000,17638000,785620,17629000,16920000,708890,19401000,18495000,906570,25607000,24463000,1144200,,,,42,381;405;4331;5033;8730,True;True;True;True;True,382;406;4345;5054;8786,1066;1116;1117;1118;1119;1120;1121;11475;11476;11477;11478;13304;13305;13306;13307;23038;23039;23040;23041,2178;2277;2278;2279;2280;2281;2282;2283;2284;2285;2286;2287;2288;2289;2290;2291;2292;2293;21962;21963;21964;21965;21966;21967;21968;21969;21970;21971;21972;21973;21974;25229;25230;25231;25232;25233;25234;25235;25236;25237;25238;25239;25240;25241;25242;25243;25244;25245;25246;25247;25248;25249;25250;25251;25252;43818;43819;43820;43821;43822;43823;43824;43825;43826;43827;43828;43829;43830;43831;43832;43833;43834,2178;2290;21971;25231;43824,,,-1;-1
YBL030C;YBR085W,YBL030C,YBL030C,8;2,8;2,7;1,"YBL030C PET9 SGDID:S000000126, Chr II from 163997-163041, Genome Release 64-2-1, reverse complement, Verified ORF, Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme an",2,8,8,7,7,7,7,8,7,7,7,8,6,6,6,7,28,28,24.2,34.426,318,318;307,0,215.47,0.061584,1.1287,45.042,26,21,Leave out requantified,0.066593,0.080346,0.06678,0.08263,0.81166,0.48223,0.67643,0.85846,47.008,55.126,49.162,36.107,6,7,6,7,4,6,5,6,Median,Median,Median,Median,24.8,24.8,24.2,28,26978000,25342000,1635700,6027500,5677900,349630,7136300,6677100,459210,6387500,6018300,369120,7426400,6968600,457750,,,,43,2861;4071;4841;5492;6737;7483;7860;8969,True;True;True;True;True;True;True;True,2870;4084;4861;5520;6773;7527;7906;9026,7611;7612;7613;7614;10812;10813;10814;12776;12777;12778;12779;14485;14486;14487;17638;17639;17640;17641;17642;19634;19635;19636;19637;20645;20646;20647;23673;23674;23675;23676,14442;14443;14444;14445;14446;14447;14448;14449;14450;14451;14452;20747;20748;20749;20750;20751;24236;24237;24238;24239;24240;24241;24242;24243;24244;24245;24246;24247;24248;27371;27372;27373;27374;27375;32933;32934;32935;32936;32937;32938;32939;32940;32941;36779;36780;36781;36782;36783;36784;36785;36786;36787;36788;36789;36790;38883;38884;38885;38886;38887;38888;38889;38890;38891;38892;38893;45073;45074;45075;45076;45077;45078;45079;45080,14446;20747;24244;27375;32941;36783;38885;45076,,,-1;-1
YBL032W,YBL032W,YBL032W,4,4,4,"YBL032W HEK2 SGDID:S000000128, Chr II from 160184-161329, Genome Release 64-2-1, Verified ORF, RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; ",1,4,4,4,3,1,0,2,3,1,0,2,3,1,0,2,12.6,12.6,12.6,41.682,381,381,0,5.065,0.085458,0.10994,88.433,5,4,Median,0.15282,NaN,NaN,0.089375,0.22316,NaN,NaN,0.10418,159.29,NaN,NaN,7.6138,2,1,0,2,2,0,0,2,Median,Median,Median,Median,8.7,2.4,0,7.1,571170,534900,36272,389380,367090,22290,61841,55133,6707.6,0,0,0,119950,112680,7274,,,,44,875;1074;3907;4248,True;True;True;True,877;1076;3920;4262,2404;2405;2921;10404;10405;11269,4893;4894;5777;20025;20026;21600,4894;5777;20026;21600,,,-1
YBL036C,YBL036C,YBL036C,5,5,5,"YBL036C YBL036C SGDID:S000000132, Chr II from 151220-150447, Genome Release 64-2-1, reverse complement, Verified ORF, Putative non-specific single-domain racemase; based on structural similarity; binds pyridoxal 5-phosphate; expression of GFP-fusion prot",1,5,5,5,4,3,1,2,4,3,1,2,4,3,1,2,23.3,23.3,23.3,29.123,257,257,0,8.653,0.083278,0.24995,156.88,8,8,Median,0.14616,0.074383,NaN,NaN,1.5647,0.12976,NaN,NaN,124.02,187.04,NaN,NaN,3,3,1,1,3,3,1,1,Plateau,Median,Median,Median,18.7,13.2,5.1,8.2,1585800,1468000,117860,703460,646730,56732,515390,482040,33348,248670,224620,24050,118320,114590,3728,,,,45,851;1601;3680;7889;8524,True;True;True;True;True,853;1604;3691;7935;8578,2335;2336;2337;4311;4312;4313;9795;9796;20716;22480,4762;4763;4764;4765;8349;8350;8351;18790;18791;39004;39005;39006;42764,4763;8349;18791;39005;42764,,,-1
YBL039C;YJR103W,YBL039C,YBL039C,17;1,17;1,17;1,"YBL039C URA7 SGDID:S000000135, Chr II from 145728-143989, Genome Release 64-2-1, reverse complement, Verified ORF, Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, t",2,17,17,17,11,13,12,13,11,13,12,13,11,13,12,13,32.8,32.8,32.8,64.71,579,579;578,0,276.71,0.066832,0.59726,158.18,40,38,Median,0.065705,0.064479,0.064304,0.0817,0.63432,0.51234,0.58597,1.0323,145.95,155.82,160.61,184.01,8,11,12,9,7,11,12,8,Median,Median,Median,Median,22.5,22.5,23.8,26.6,17304000,15155000,2149300,3039200,2712300,326890,3567700,3232200,335500,4798900,4273300,525590,5898000,4936700,961290,,,,46,619;1216;1253;3161;3210;4157;4413;4781;5353;5452;5556;5761;5762;8037;8846;8905;9291,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,621;1218;1255;3171;3220;4171;4427;4800;5375;5478;5585;5790;5791;8087;8903;8962;9348,1712;1713;1714;3286;3287;3288;3289;3379;3380;3381;8394;8395;8396;8571;8572;11039;11666;11667;11668;12643;12644;12645;14139;14140;14141;14142;14387;14388;14389;14390;14649;14650;14651;15166;15167;15168;15169;21128;21129;21130;23342;23343;23503;23504;23505;23506;24526;24527;24528,3571;3572;3573;3574;3575;3576;6410;6411;6412;6413;6414;6415;6416;6417;6418;6587;6588;6589;15907;15908;15909;16290;16291;16292;21168;22275;22276;22277;22278;22279;24024;24025;24026;26762;26763;26764;26765;26766;26767;26768;26769;26770;26771;26772;27196;27197;27198;27199;27200;27201;27630;27631;27632;27633;27634;27635;28546;28547;28548;28549;39924;39925;39926;44441;44442;44443;44444;44445;44744;44745;44746;44747;44748;46731;46732;46733,3575;6413;6587;15907;16290;21168;22277;24025;26769;27198;27632;28546;28549;39926;44445;44744;46732,,,-1;-1
YBL041W,YBL041W,YBL041W,2,2,2,"YBL041W PRE7 SGDID:S000000137, Chr II from 141247-141972, Genome Release 64-2-1, Verified ORF, Beta 6 subunit of the 20S proteasome",1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,14.1,14.1,14.1,26.871,241,241,0,10.374,0.057096,0.97393,29.607,6,6,Median,0.065975,NaN,NaN,0.082286,0.95,NaN,NaN,1.0566,63.391,NaN,NaN,14.993,2,1,1,2,2,1,1,2,Median,Median,Median,Median,14.1,14.1,5.8,14.1,2694000,2498700,195350,874870,827010,47858,607890,580530,27362,357480,324360,33118,853770,766750,87014,,,,47,204;2775,True;True,204;2784,580;581;582;7395;7396;7397;7398,1245;1246;1247;14050;14051;14052;14053;14054,1247;14051,,,-1
YBL045C,YBL045C,YBL045C,13,13,13,"YBL045C COR1 SGDID:S000000141, Chr II from 135516-134143, Genome Release 64-2-1, reverse complement, Verified ORF, Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of t",1,13,13,13,7,5,4,4,7,5,4,4,7,5,4,4,41.4,41.4,41.4,50.227,457,457,0,43.082,0.11459,0.95506,129.07,16,13,Median,0.16303,0.10205,0.07746,0.099831,1.2794,0.77437,0.94882,0.51939,126.59,108.54,164.89,126.3,6,4,4,2,6,2,4,1,Median,Median,Median,Median,22.8,16.2,10.9,9.8,4381700,4061400,320350,1631200,1480500,150710,862560,801140,61414,1066500,990850,75640,821510,788920,32585,,,,48,448;704;882;1213;1652;3307;5073;5165;5233;5864;6601;7009;8397,True;True;True;True;True;True;True;True;True;True;True;True;True,449;706;884;1215;1656;3318;5094;5186;5254;5894;6637;7047;8451,1226;1227;1228;1968;2423;3280;4456;4457;8817;13411;13636;13637;13824;15419;17328;17329;17330;17331;18352;22137,2502;2503;2504;2505;2506;4109;4917;6402;8621;8622;16806;25411;25782;25783;26115;26116;29007;32425;32426;32427;32428;32429;32430;32431;34246;42018,2502;4109;4917;6402;8622;16806;25411;25783;26116;29007;32426;34246;42018,,,-1
YBL047C,YBL047C,YBL047C,20,20,20,"YBL047C EDE1 SGDID:S000000143, Chr II from 132040-127895, Genome Release 64-2-1, reverse complement, Verified ORF, Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for",1,20,20,20,12,7,13,12,12,7,13,12,12,7,13,12,22.8,22.8,22.8,150.78,1381,1381,0,202.48,0.11106,1.1496,43.559,40,36,Leave out requantified,0.1995,0.1163,0.20217,0.11106,1.0857,0.99149,0.9448,1.1496,115.11,135.06,112.22,31.308,11,7,11,11,10,7,11,8,Median,Median,Median,Leave out requantified,14,7,13.5,11.5,7979800,6608700,1371100,2186700,1831000,355730,1376400,1097900,278460,1930900,1574100,356830,2485800,2105700,380100,,,,49,1152;1744;1932;2001;2070;2333;2649;2701;2860;4537;4918;4971;5060;6421;6477;7004;7197;7548;8005;9165,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1154;1749;1940;2009;2078;2342;2658;2710;2869;4551;4939;4992;5081;6457;6513;7042;7238;7593;8054;9222,3123;4712;5223;5224;5407;5408;5572;5573;5574;6309;7090;7091;7215;7216;7217;7609;7610;11985;11986;12969;13123;13384;13385;13386;13387;16881;17019;17020;17021;17022;18340;18818;18819;19796;19797;19798;19799;21040;21041;21042;24214;24215;24216;24217,6121;9079;10036;10037;10426;10427;10712;10713;10714;12216;13514;13515;13716;13717;13718;13719;14440;14441;22811;22812;24627;24628;24884;25370;25371;25372;25373;25374;25375;25376;31630;31910;31911;31912;31913;31914;34230;35115;35116;35117;35118;37056;37057;37058;37059;39702;39703;39704;46115;46116;46117;46118;46119,6121;9079;10037;10426;10713;12216;13514;13716;14440;22811;24628;24884;25371;31630;31913;34230;35116;37058;39704;46115,,,-1
